City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,32.76,74,100,18.72,TF,1727975852
1,puerto ayora,-0.7393,-90.3518,70.56,96,97,5.99,EC,1727975853
2,bethel,41.3712,-73.414,71.02,75,100,5.75,US,1727975854
3,puerto natales,-51.7236,-72.4875,48.65,49,20,41.43,CL,1727975855
4,monrovia,6.3005,-10.7969,79.66,79,78,10.56,LR,1727975857
5,louga,58.7372,29.8453,49.41,92,100,3.85,RU,1727975858
6,pisco,-13.7,-76.2167,67.01,82,0,11.5,PE,1727975859
7,kone,-21.0595,164.8658,61.39,84,24,3.0,NC,1727975860
8,yellowknife,62.456,-114.3525,33.42,94,20,8.05,CA,1727975862
9,adamstown,-25.066,-130.1015,69.64,80,77,15.99,PN,1727975863
10,newman,37.3138,-121.0208,89.74,14,0,4.41,US,1727975839
11,bairnsdale,-37.8333,147.6167,48.06,96,78,3.89,AU,1727975865
12,north bend,43.4065,-124.2243,62.26,62,0,5.75,US,1727975866
13,taiohae,43.4065,-124.2243,62.26,62,0,5.75,US,1727975866
14,iqaluit,63.7506,-68.5145,38.93,100,100,15.01,CA,1727975869
15,buurhakaba,2.8026,44.0781,80.44,58,100,19.33,SO,1727975870
16,atafu village,-8.5421,-172.5159,82.58,78,41,13.76,TK,1727975871
17,saint-philippe,-21.3585,55.7679,72.57,80,48,9.82,RE,1727975872
18,trujillo,-8.116,-79.03,64.36,82,75,12.66,PE,1727975794
19,thompson,55.7435,-97.8558,35.76,80,100,10.36,CA,1727975874
20,iskateley,67.6803,53.1512,35.31,84,100,6.38,RU,1727975876
21,hilo,19.7297,-155.09,71.11,91,100,6.91,US,1727975877
22,grytviken,-54.2811,-36.5092,30.76,96,87,21.79,GS,1727975878
23,kristiansund,63.1115,7.732,49.12,87,75,8.05,NO,1727975879
24,celestun,20.8667,-90.4,88.95,60,28,3.29,MX,1727975880
25,blackmans bay,-43.0167,147.3167,48.33,87,29,11.72,AU,1727975882
26,casalbordino-miracoli,42.1535,14.5991,69.49,83,100,19.17,IT,1727975883
27,nabire,-3.3667,135.4833,73.47,95,90,3.6,ID,1727975884
28,minot air force base,48.4209,-101.3391,57.38,38,0,17.27,US,1727975885
29,hawaiian paradise park,19.5933,-154.9731,70.9,93,100,6.91,US,1727975886
30,mariental,-24.6333,17.9667,82.44,14,57,13.42,NA,1727975887
31,albany,42.6001,-73.9662,71.28,61,59,1.95,US,1727975888
32,paso de los toros,-32.8167,-56.5167,60.67,47,16,6.8,UY,1727975890
33,vilyuchinsk,52.9306,158.4028,50.27,71,14,12.62,RU,1727975891
34,margaret river,-33.95,115.0667,58.57,84,100,21.21,AU,1727975892
35,waitangi,-43.9535,-176.5597,52.83,91,99,7.0,NZ,1727975893
36,san-pedro,4.7485,-6.6363,78.53,81,52,9.55,CI,1727975895
37,argo,37.6333,22.7333,72.28,63,0,2.15,GR,1727975896
38,brisas de zicatela,15.8369,-97.0419,79.32,83,100,5.75,MX,1727975897
39,jamestown,42.097,-79.2353,72.01,49,0,8.05,US,1727975898
40,sinabang,2.4803,96.3801,79.79,81,100,3.42,ID,1727975900
41,tamazunchale,21.2667,-98.7833,85.05,43,82,4.07,MX,1727975901
42,tromso,69.6496,18.957,41.02,87,100,4.61,NO,1727975902
43,ushuaia,-54.8,-68.3,42.46,70,40,13.8,AR,1727975903
44,helena valley west central,46.6629,-112.0604,53.73,45,0,3.0,US,1727975905
45,luganville,-15.5333,167.1667,74.32,81,45,4.38,VU,1727975906
46,arraial do cabo,-22.9661,-42.0278,78.76,73,40,14.97,BR,1727975907
47,ilulissat,69.2167,-51.1,50.02,53,75,14.97,GL,1727975908
48,hermanus,-34.4187,19.2345,63.81,72,5,13.38,ZA,1727975909
49,punta arenas,-53.15,-70.9167,46.51,57,40,50.64,CL,1727975910
50,tokombere,11.2271,13.4858,78.04,73,98,1.05,NG,1727975912
51,tiksi,71.6872,128.8694,27.7,81,100,8.57,RU,1727975913
52,balpyk bi,44.8947,78.2083,52.45,35,4,9.15,KZ,1727975914
53,tolanaro,-25.0319,46.9987,66.27,77,40,9.22,MG,1727975915
54,trincomalee,8.5711,81.2335,82.4,75,9,8.88,LK,1727975916
55,kayangel,8.0823,134.7173,83.44,76,78,8.99,PW,1727975917
56,isafjordur,66.0755,-23.124,37.44,70,75,19.57,IS,1727975919
57,bubaque,11.2833,-15.8333,81.54,71,92,7.47,GW,1727975920
58,codrington,-38.2667,141.9667,57.65,92,100,16.84,AU,1727975921
59,guanica,17.9716,-66.908,91.04,66,32,6.62,PR,1727975922
60,east london,-33.0153,27.9116,65.34,72,20,13.8,ZA,1727975809
61,yantai,37.5333,121.4,58.28,58,0,4.65,CN,1727975924
62,pointe michel,15.25,-61.3833,90.54,58,75,2.3,DM,1727975926
63,quellon,-43.1167,-73.6167,47.39,72,100,2.77,CL,1727975713
64,constitucion,-35.3333,-72.4167,61.09,53,95,8.86,CL,1727975928
65,vorgashor,67.5833,63.95,32.31,97,100,6.82,RU,1727975929
66,west island,-12.1568,96.8225,78.78,78,100,14.97,CC,1727975930
67,avarua,-21.2078,-159.775,69.85,64,75,3.44,CK,1727975931
68,talnakh,69.4865,88.3972,33.87,99,100,5.44,RU,1727975933
69,inhambane,-23.865,35.3833,71.58,73,75,17.27,MZ,1727975934
70,afaahiti,-17.75,-149.2833,75.78,83,100,10.58,PF,1727975935
71,bushland beach,-17.75,-149.2833,75.78,83,100,10.58,PF,1727975935
72,chilliwack,49.1747,-121.9443,55.11,84,100,4.0,CA,1727975737
73,akrehamn,59.2667,5.1833,53.85,71,20,14.97,NO,1727975938
74,pandan,14.0453,124.1694,79.29,91,100,5.19,PH,1727975940
75,margate,51.3813,1.3862,56.88,67,36,1.01,GB,1727975941
76,jindabyne,-36.4167,148.6333,44.35,83,33,5.86,AU,1727975942
77,kvissleby,62.2936,17.375,42.64,80,68,3.65,SE,1727975943
78,risod,19.9667,76.7833,76.17,76,80,6.82,IN,1727975944
79,petropavlovsk-kamchatsky,53.0452,158.6483,48.79,50,40,8.95,RU,1727975946
80,cape canaveral,28.4058,-80.6048,89.67,75,0,10.36,US,1727975827
81,egyek,47.6333,20.9,53.98,97,100,8.32,HU,1727975894
82,bikenibeu village,1.3673,173.1241,80.56,89,100,5.75,KI,1727975949
83,alesund,62.4723,6.1549,50.32,92,75,5.75,NO,1727975950
84,anna regina,7.2644,-58.5077,87.85,64,92,10.07,GY,1727975951
85,alotau,-10.3069,150.4462,73.89,94,100,4.18,PG,1727975952
86,sharan,54.8167,54.0,46.42,39,100,4.56,RU,1727975954
87,basco,20.4487,121.9702,82.09,77,100,10.74,PH,1727975955
88,skovorodino,53.9833,123.9167,36.9,43,97,1.19,RU,1727975956
89,yilan,24.757,121.753,75.27,94,100,8.48,TW,1727975957
90,timbuktu,16.7735,-3.0074,101.07,19,100,3.47,ML,1727975958
91,gobabis,-22.45,18.9667,78.53,19,2,12.97,NA,1727975960
92,westport,41.1415,-73.3579,71.37,66,75,10.36,US,1727975961
93,singapore,1.2897,103.8501,80.55,85,75,2.3,SG,1727975696
94,kodiak,57.79,-152.4072,44.11,100,100,0.0,US,1727975963
95,tamanrasset,22.785,5.5228,89.51,14,40,2.3,DZ,1727975964
96,nantucket,41.2835,-70.0995,64.51,72,40,3.44,US,1727975750
97,klyuchi,52.2667,79.1667,42.21,64,5,5.55,RU,1727975966
98,hammerfest,70.6634,23.6821,39.65,87,75,4.61,NO,1727975968
99,edinburgh of the seven seas,-37.0676,-12.3116,58.41,84,99,28.25,SH,1727975969
100,valentin gomez farias,28.2167,-106.5833,73.02,30,0,1.57,MX,1727975970
101,bandon,51.7469,-8.7425,56.79,91,89,16.08,IE,1727975971
102,broome,42.2506,-75.833,67.69,67,20,6.91,US,1727975973
103,diego de almagro,-26.3667,-70.05,84.85,15,1,10.16,CL,1727975974
104,qaqortoq,60.7167,-46.0333,40.03,68,15,2.82,GL,1727975975
105,olonkinbyen,70.9221,-8.7187,29.79,66,99,15.03,SJ,1727975976
106,mar del plata,-38.0023,-57.5575,55.94,68,4,11.01,AR,1727975741
107,lauro de freitas,-12.8944,-38.3272,82.42,74,75,16.11,BR,1727975781
108,kargasok,59.0556,80.8572,37.9,82,97,8.25,RU,1727975980
109,stephenville,32.2207,-98.2023,86.14,46,0,6.91,US,1727975981
110,okhotsk,59.3833,143.3,37.63,96,100,18.5,RU,1727975982
111,saskatoon,52.1168,-106.6345,36.99,64,97,11.01,CA,1727975382
112,mount gambier,-37.8333,140.7667,55.44,97,100,8.05,AU,1727975985
113,alofi,-19.0595,-169.9187,73.29,78,75,11.5,NU,1727975987
114,dom pedrito,-30.9828,-54.6731,61.56,48,31,9.04,BR,1727975988
115,mermoz boabab,14.7065,-17.4758,80.83,81,100,10.31,SN,1727975989
116,enewetak,11.3474,162.3373,83.37,77,71,10.38,MH,1727975990
117,puerto el triunfo,13.2833,-88.55,82.42,77,85,8.3,SV,1727975991
118,axum,14.1245,38.7244,64.72,56,74,10.22,ET,1727975992
119,whitehorse,60.7161,-135.0538,38.01,92,40,11.5,CA,1727975993
120,hobyo,5.3505,48.5268,78.46,79,90,20.69,SO,1727975995
121,hithadhoo,-0.6,73.0833,83.01,74,100,6.8,MV,1727975996
122,port alfred,-33.5906,26.891,64.18,85,0,7.0,ZA,1727975997
123,campbellsville,37.3434,-85.3419,76.17,58,0,3.0,US,1727975998
124,zouerate,22.7187,-12.4521,104.36,11,54,8.41,MR,1727975999
